analysisUnit,deciduous,white_spruce,black_spruce,pine,total,deciduous_p,white_spruce_p,black_spruce_p,pine_p
1,20311300,81000,1097200,4893500,26383000,0.769863169465186,0.00307015881438805,0.0415873858166243,0.185479285903802
3,9061700,1458200,4443500,4707500,19670900,0.460665246633352,0.0741298059570228,0.225892053744364,0.239312893665262
4,2113600,1056200,1719300,1456400,6345500,0.333086439208888,0.166448664407848,0.270947915845875,0.229516980537389
5,5800,11700,200,1600,19300,0.300518134715026,0.606217616580311,0.0103626943005181,0.0829015544041451
6,7109100,3056600,18222800,13528200,41916700,0.169600660357328,0.07292081676277,0.434738421679188,0.322740101200715
7,5348300,963500,8609100,25394600,40315500,0.132661135295358,0.0238989966638142,0.213543178182089,0.629896689858739
8,85542800,12459500,45760200,119707900,263470400,0.324677079474582,0.0472899422477819,0.17368250854745,0.454350469730186
