analysisUnit,meanAge,nStands
1,55.0842973543909,19882
3,56.3608656321759,14371
4,63.2316007359706,4348
5,62.6363636363636,11
6,63.6281957633309,24642
7,62.0461724221203,20705
8,56.1792394370387,201719
