analysisUnit,deciduous,white_spruce,black_spruce,pine,total,deciduous_p,white_spruce_p,black_spruce_p,pine_p
2,18263700,240400,2194100,9028300,29726500,0.614391199771248,0.0080870603670126,0.0738095638571645,0.303712176004575
8,13500800,5610800,23974900,38510900,81597400,0.165456252282548,0.0687619948674835,0.293819410912603,0.471962341937366
4,39072200,9817900,39425300,71937600,160253000,0.243815716398445,0.061264999719194,0.246019107286603,0.448900176595758
3,46946500,3348300,13540900,46192700,110028400,0.426676203598344,0.0304312341177369,0.123067317165386,0.419825245118533
1,11709400,69300,717100,4020200,16516000,0.708973116977476,0.00419593121821264,0.0434185032695568,0.243412448534754
