CURVENO,SUBMU,FU,SI,AC10,PW,PR,PJ,SB,SW,BF,CE,OC,HE,PO,PB,BW,MH,QR,YB,OH
77,5e,CE1,Intn1,65,4.04,0.00,0.00,2.38,6.39,6.43,56.79,2.88,0.96,3.81,0.00,0.46,0.38,0.00,0.00,0.75
77,5e,CE1,Intn1,75,5.37,0.00,0.00,2.72,7.38,7.24,64.13,3.26,1.16,4.77,0.00,0.60,0.50,0.00,0.00,0.99
77,5e,CE1,Intn1,85,6.58,0.00,0.00,2.95,8.04,7.72,68.41,3.47,1.32,5.47,0.00,0.73,0.61,0.00,0.00,1.20
77,5e,CE1,Intn1,95,7.66,0.00,0.00,3.12,8.52,8.03,70.87,3.60,1.46,5.96,0.00,0.84,0.71,0.00,0.00,1.39
77,5e,CE1,Intn1,105,8.63,0.00,0.00,3.26,8.90,8.24,72.13,3.66,1.58,6.29,0.00,0.93,0.80,0.00,0.00,1.56
77,5e,CE1,Intn1,115,9.50,0.00,0.00,3.37,9.21,8.37,72.48,3.68,1.70,6.48,0.00,1.00,0.88,0.00,0.00,1.72
77,5e,CE1,Intn1,125,10.24,0.00,0.00,3.47,9.48,8.45,72.07,3.66,1.80,6.56,0.00,1.06,0.95,0.00,0.00,1.85
77,5e,CE1,Intn1,135,10.87,0.00,0.00,3.55,9.70,8.48,71.03,3.61,1.89,6.55,0.00,1.11,1.02,0.00,0.00,1.97
77,5e,CE1,Intn1,145,11.38,0.00,0.00,3.62,9.89,8.47,69.45,3.53,1.98,6.48,0.00,1.15,1.07,0.00,0.00,2.06
77,5e,CE1,Intn1,155,11.77,0.00,0.00,3.67,10.05,8.43,67.45,3.42,2.06,6.36,0.00,1.17,1.12,0.00,0.00,2.14
77,5e,CE1,Intn1,165,12.06,0.00,0.00,3.72,10.19,8.37,65.10,3.31,2.13,6.21,0.00,1.19,1.16,0.00,0.00,2.20
77,5e,CE1,Intn1,175,12.26,0.00,0.00,3.76,10.30,8.28,62.49,3.17,2.20,6.03,0.00,1.19,1.19,0.00,0.00,2.25
77,5e,CE1,Intn1,185,12.37,0.00,0.00,3.80,10.40,8.18,59.71,3.03,2.26,5.84,0.00,1.19,1.22,0.00,0.00,2.28
77,5e,CE1,Intn1,195,12.40,0.00,0.00,3.82,10.47,8.06,56.80,2.88,2.32,5.63,0.00,1.19,1.24,0.00,0.00,2.29
77,5e,CE1,Intn1,205,12.37,0.00,0.00,3.85,10.54,7.93,53.82,2.73,2.37,5.42,0.00,1.18,1.26,0.00,0.00,2.30
77,5e,CE1,Intn1,215,12.28,0.00,0.00,3.86,10.59,7.79,50.82,2.58,2.42,5.21,0.00,1.16,1.27,0.00,0.00,2.29
77,5e,CE1,Intn1,225,12.14,0.00,0.00,3.88,10.63,7.64,47.85,2.43,2.46,5.00,0.00,1.14,1.28,0.00,0.00,2.28
77,5e,CE1,Intn1,235,11.96,0.00,0.00,3.89,10.66,7.48,44.92,2.28,2.50,4.79,0.00,1.12,1.28,0.00,0.00,2.25
77,5e,CE1,Intn1,245,11.76,0.00,0.00,3.90,10.68,7.32,42.06,2.13,2.54,4.59,0.00,1.10,1.28,0.00,0.00,2.22
77,5e,CE1,Intn1,255,11.52,0.00,0.00,3.90,10.70,7.16,39.30,1.99,2.57,4.39,0.00,1.08,1.28,0.00,0.00,2.19
79,5e,PR1,Exten,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
79,5e,PR1,Exten,15,2.00,17.84,0.46,0.00,0.00,0.18,0.00,0.00,0.00,0.75,0.00,0.15,0.00,0.00,0.00,0.03
79,5e,PR1,Exten,25,4.63,41.02,0.90,0.00,0.00,0.46,0.00,0.00,0.00,1.82,0.00,0.36,0.00,0.00,0.00,0.07
79,5e,PR1,Exten,35,7.63,67.52,1.32,0.00,0.00,0.67,0.00,0.00,0.00,2.98,0.00,0.60,0.00,0.00,0.00,0.12
79,5e,PR1,Exten,45,10.63,94.27,1.67,0.00,0.00,0.75,0.00,0.00,0.00,4.03,0.00,0.84,0.00,0.00,0.00,0.16
79,5e,PR1,Exten,55,13.31,118.77,1.93,0.00,0.00,0.75,0.00,0.00,0.00,4.83,0.00,1.04,0.00,0.00,0.00,0.20
79,5e,PR1,Exten,65,15.45,139.06,2.08,0.00,0.00,0.71,0.00,0.00,0.00,5.32,0.00,1.19,0.00,0.00,0.00,0.22
79,5e,PR1,Exten,75,16.90,153.80,2.14,0.00,0.00,0.66,0.00,0.00,0.00,5.48,0.00,1.28,0.00,0.00,0.00,0.24
79,5e,PR1,Exten,85,17.60,162.32,2.09,0.00,0.00,0.60,0.00,0.00,0.00,5.35,0.00,1.31,0.00,0.00,0.00,0.25
79,5e,PR1,Exten,95,17.57,164.52,1.97,0.00,0.00,0.53,0.00,0.00,0.00,5.00,0.00,1.29,0.00,0.00,0.00,0.25
79,5e,PR1,Exten,105,16.89,160.86,1.78,0.00,0.00,0.46,0.00,0.00,0.00,4.49,0.00,1.22,0.00,0.00,0.00,0.24
79,5e,PR1,Exten,115,15.69,152.21,1.56,0.00,0.00,0.40,0.00,0.00,0.00,3.91,0.00,1.11,0.00,0.00,0.00,0.22
