CURVENO,SUBMU,FU,SI,AC10,PW,PR,PJ,SB,SW,BF,CE,OC,HE,PO,PB,BW,MH,QR,YB,OH
1,3w,PwDom,Prsnt,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,3w,PwDom,Prsnt,15,1.78,0.00,0.00,0.39,0.00,0.27,0.00,0.00,0.00,0.20,0.00,0.35,0.00,0.00,0.00,0.00
1,3w,PwDom,Prsnt,25,6.90,0.00,0.00,1.67,0.00,1.12,0.00,0.00,0.00,0.80,0.00,1.38,0.00,0.00,0.00,0.00
1,3w,PwDom,Prsnt,35,17.10,0.00,0.00,3.72,0.00,2.45,0.00,0.00,0.00,1.99,0.00,3.43,0.00,0.00,0.00,0.00
1,3w,PwDom,Prsnt,45,33.56,0.00,0.00,6.02,0.00,3.87,0.00,0.00,0.00,3.80,0.00,6.70,0.00,0.00,0.00,0.00
1,3w,PwDom,Prsnt,55,56.09,0.00,0.00,8.18,0.00,5.15,0.00,0.00,0.00,6.08,0.00,11.08,0.00,0.00,0.00,0.00
1,3w,PwDom,Prsnt,65,83.06,0.00,0.00,10.10,0.00,6.25,0.00,0.00,0.00,8.53,0.00,16.20,0.00,0.00,0.00,0.00
1,3w,PwDom,Prsnt,75,111.84,0.00,0.00,11.70,0.00,7.14,0.00,0.00,0.00,10.82,0.00,21.50,0.00,0.00,0.00,0.00
1,3w,PwDom,Prsnt,85,139.30,0.00,0.00,12.92,0.00,7.75,0.00,0.00,0.00,12.64,0.00,26.35,0.00,0.00,0.00,0.00
1,3w,PwDom,Prsnt,95,162.33,0.00,0.00,13.68,0.00,8.07,0.00,0.00,0.00,13.78,0.00,30.20,0.00,0.00,0.00,0.00
1,3w,PwDom,Prsnt,105,178.33,0.00,0.00,13.91,0.00,8.06,0.00,0.00,0.00,14.17,0.00,32.63,0.00,0.00,0.00,0.00
1,3w,PwDom,Prsnt,115,185.63,0.00,0.00,13.63,0.00,7.75,0.00,0.00,0.00,13.81,0.00,33.41,0.00,0.00,0.00,0.00
1,3w,PwDom,Prsnt,125,183.78,0.00,0.00,12.87,0.00,7.18,0.00,0.00,0.00,12.84,0.00,32.55,0.00,0.00,0.00,0.00
1,3w,PwDom,Prsnt,135,173.54,0.00,0.00,11.72,0.00,6.42,0.00,0.00,0.00,11.42,0.00,30.27,0.00,0.00,0.00,0.00
1,3w,PwDom,Prsnt,145,156.60,0.00,0.00,10.30,0.00,5.53,0.00,0.00,0.00,9.74,0.00,26.93,0.00,0.00,0.00,0.00
1,3w,PwDom,Prsnt,155,135.26,0.00,0.00,8.73,0.00,4.59,0.00,0.00,0.00,7.98,0.00,22.95,0.00,0.00,0.00,0.00
1,3w,PwDom,Prsnt,165,111.96,0.00,0.00,7.15,0.00,3.68,0.00,0.00,0.00,6.29,0.00,18.77,0.00,0.00,0.00,0.00
1,3w,PwDom,Prsnt,175,88.91,0.00,0.00,5.65,0.00,2.84,0.00,0.00,0.00,4.77,0.00,14.75,0.00,0.00,0.00,0.00
1,3w,PwDom,Prsnt,185,67.79,0.00,0.00,4.30,0.00,2.12,0.00,0.00,0.00,3.49,0.00,11.14,0.00,0.00,0.00,0.00
1,3w,PwDom,Prsnt,195,49.65,0.00,0.00,3.16,0.00,1.53,0.00,0.00,0.00,2.46,0.00,8.09,0.00,0.00,0.00,0.00
1,3w,PwDom,Prsnt,205,34.96,0.00,0.00,2.25,0.00,1.06,0.00,0.00,0.00,1.67,0.00,5.66,0.00,0.00,0.00,0.00
1,3w,PwDom,Prsnt,215,23.67,0.00,0.00,1.54,0.00,0.71,0.00,0.00,0.00,1.09,0.00,3.81,0.00,0.00,0.00,0.00
1,3w,PwDom,Prsnt,225,15.42,0.00,0.00,1.01,0.00,0.46,0.00,0.00,0.00,0.69,0.00,2.47,0.00,0.00,0.00,0.00
1,3w,PwDom,Prsnt,235,9.67,0.00,0.00,0.65,0.00,0.28,0.00,0.00,0.00,0.42,0.00,1.54,0.00,0.00,0.00,0.00
1,3w,PwDom,Prsnt,245,5.83,0.00,0.00,0.40,0.00,0.17,0.00,0.00,0.00,0.24,0.00,0.93,0.00,0.00,0.00,0.00
1,3w,PwDom,Prsnt,255,3.39,0.00,0.00,0.23,0.00,0.10,0.00,0.00,0.00,0.14,0.00,0.54,0.00,0.00,0.00,0.00
2,Patnt,PwDom,Prsnt,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,Patnt,PwDom,Prsnt,15,5.87,0.00,0.00,1.30,0.00,0.89,0.00,0.00,0.00,0.66,0.00,1.15,0.00,0.00,0.00,0.00
2,Patnt,PwDom,Prsnt,25,17.14,0.00,0.00,4.15,0.00,2.80,0.00,0.00,0.00,2.01,0.00,3.43,0.00,0.00,0.00,0.00
2,Patnt,PwDom,Prsnt,35,33.24,0.00,0.00,7.23,0.00,4.76,0.00,0.00,0.00,3.87,0.00,6.67,0.00,0.00,0.00,0.00
2,Patnt,PwDom,Prsnt,45,52.87,0.00,0.00,9.48,0.00,6.10,0.00,0.00,0.00,5.99,0.00,10.55,0.00,0.00,0.00,0.00
2,Patnt,PwDom,Prsnt,55,74.20,0.00,0.00,10.83,0.00,6.82,0.00,0.00,0.00,8.05,0.00,14.66,0.00,0.00,0.00,0.00
2,Patnt,PwDom,Prsnt,65,95.57,0.00,0.00,11.62,0.00,7.20,0.00,0.00,0.00,9.82,0.00,18.64,0.00,0.00,0.00,0.00
2,Patnt,PwDom,Prsnt,75,115.94,0.00,0.00,12.13,0.00,7.40,0.00,0.00,0.00,11.22,0.00,22.28,0.00,0.00,0.00,0.00
2,Patnt,PwDom,Prsnt,85,134.77,0.00,0.00,12.50,0.00,7.50,0.00,0.00,0.00,12.23,0.00,25.49,0.00,0.00,0.00,0.00
2,Patnt,PwDom,Prsnt,95,151.82,0.00,0.00,12.79,0.00,7.54,0.00,0.00,0.00,12.89,0.00,28.25,0.00,0.00,0.00,0.00
2,Patnt,PwDom,Prsnt,105,167.01,0.00,0.00,13.03,0.00,7.55,0.00,0.00,0.00,13.27,0.00,30.56,0.00,0.00,0.00,0.00
2,Patnt,PwDom,Prsnt,115,180.33,0.00,0.00,13.24,0.00,7.53,0.00,0.00,0.00,13.42,0.00,32.45,0.00,0.00,0.00,0.00
2,Patnt,PwDom,Prsnt,125,191.83,0.00,0.00,13.43,0.00,7.50,0.00,0.00,0.00,13.40,0.00,33.98,0.00,0.00,0.00,0.00
2,Patnt,PwDom,Prsnt,135,201.60,0.00,0.00,13.61,0.00,7.45,0.00,0.00,0.00,13.27,0.00,35.17,0.00,0.00,0.00,0.00
2,Patnt,PwDom,Prsnt,145,209.74,0.00,0.00,13.79,0.00,7.40,0.00,0.00,0.00,13.04,0.00,36.07,0.00,0.00,0.00,0.00
2,Patnt,PwDom,Prsnt,155,216.35,0.00,0.00,13.97,0.00,7.35,0.00,0.00,0.00,12.76,0.00,36.72,0.00,0.00,0.00,0.00
2,Patnt,PwDom,Prsnt,165,221.55,0.00,0.00,14.15,0.00,7.29,0.00,0.00,0.00,12.44,0.00,37.15,0.00,0.00,0.00,0.00
2,Patnt,PwDom,Prsnt,175,225.45,0.00,0.00,14.32,0.00,7.22,0.00,0.00,0.00,12.10,0.00,37.40,0.00,0.00,0.00,0.00
2,Patnt,PwDom,Prsnt,185,228.15,0.00,0.00,14.49,0.00,7.15,0.00,0.00,0.00,11.75,0.00,37.50,0.00,0.00,0.00,0.00
2,Patnt,PwDom,Prsnt,195,229.77,0.00,0.00,14.66,0.00,7.08,0.00,0.00,0.00,11.39,0.00,37.47,0.00,0.00,0.00,0.00
2,Patnt,PwDom,Prsnt,205,230.41,0.00,0.00,14.83,0.00,7.00,0.00,0.00,0.00,11.03,0.00,37.32,0.00,0.00,0.00,0.00
2,Patnt,PwDom,Prsnt,215,230.18,0.00,0.00,14.99,0.00,6.92,0.00,0.00,0.00,10.66,0.00,37.08,0.00,0.00,0.00,0.00
2,Patnt,PwDom,Prsnt,225,229.17,0.00,0.00,15.15,0.00,6.83,0.00,0.00,0.00,10.30,0.00,36.77,0.00,0.00,0.00,0.00
2,Patnt,PwDom,Prsnt,235,227.47,0.00,0.00,15.30,0.00,6.74,0.00,0.00,0.00,9.95,0.00,36.38,0.00,0.00,0.00,0.00
2,Patnt,PwDom,Prsnt,245,225.16,0.00,0.00,15.44,0.00,6.65,0.00,0.00,0.00,9.59,0.00,35.95,0.00,0.00,0.00,0.00
2,Patnt,PwDom,Prsnt,255,222.33,0.00,0.00,15.57,0.00,6.55,0.00,0.00,0.00,9.25,0.00,35.46,0.00,0.00,0.00,0.00
3,3w,PwDom,Intn1,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3,3w,PwDom,Intn1,15,1.78,0.00,0.00,0.39,0.00,0.27,0.00,0.00,0.00,0.20,0.00,0.35,0.00,0.00,0.00,0.00
3,3w,PwDom,Intn1,25,6.90,0.00,0.00,1.67,0.00,1.12,0.00,0.00,0.00,0.80,0.00,1.38,0.00,0.00,0.00,0.00
3,3w,PwDom,Intn1,35,17.10,0.00,0.00,3.72,0.00,2.45,0.00,0.00,0.00,1.99,0.00,3.43,0.00,0.00,0.00,0.00
3,3w,PwDom,Intn1,45,33.56,0.00,0.00,6.02,0.00,3.87,0.00,0.00,0.00,3.80,0.00,6.70,0.00,0.00,0.00,0.00
3,3w,PwDom,Intn1,55,56.09,0.00,0.00,8.18,0.00,5.15,0.00,0.00,0.00,6.08,0.00,11.08,0.00,0.00,0.00,0.00
3,3w,PwDom,Intn1,65,83.06,0.00,0.00,10.10,0.00,6.25,0.00,0.00,0.00,8.53,0.00,16.20,0.00,0.00,0.00,0.00
3,3w,PwDom,Intn1,75,111.84,0.00,0.00,11.70,0.00,7.14,0.00,0.00,0.00,10.82,0.00,21.50,0.00,0.00,0.00,0.00
3,3w,PwDom,Intn1,85,139.30,0.00,0.00,12.92,0.00,7.75,0.00,0.00,0.00,12.64,0.00,26.35,0.00,0.00,0.00,0.00
3,3w,PwDom,Intn1,95,162.33,0.00,0.00,13.68,0.00,8.07,0.00,0.00,0.00,13.78,0.00,30.20,0.00,0.00,0.00,0.00
3,3w,PwDom,Intn1,105,178.33,0.00,0.00,13.91,0.00,8.06,0.00,0.00,0.00,14.17,0.00,32.63,0.00,0.00,0.00,0.00
3,3w,PwDom,Intn1,115,185.63,0.00,0.00,13.63,0.00,7.75,0.00,0.00,0.00,13.81,0.00,33.41,0.00,0.00,0.00,0.00
3,3w,PwDom,Intn1,125,183.78,0.00,0.00,12.87,0.00,7.18,0.00,0.00,0.00,12.84,0.00,32.55,0.00,0.00,0.00,0.00
3,3w,PwDom,Intn1,135,173.54,0.00,0.00,11.72,0.00,6.42,0.00,0.00,0.00,11.42,0.00,30.27,0.00,0.00,0.00,0.00
3,3w,PwDom,Intn1,145,156.60,0.00,0.00,10.30,0.00,5.53,0.00,0.00,0.00,9.74,0.00,26.93,0.00,0.00,0.00,0.00
3,3w,PwDom,Intn1,155,135.26,0.00,0.00,8.73,0.00,4.59,0.00,0.00,0.00,7.98,0.00,22.95,0.00,0.00,0.00,0.00
3,3w,PwDom,Intn1,165,111.96,0.00,0.00,7.15,0.00,3.68,0.00,0.00,0.00,6.29,0.00,18.77,0.00,0.00,0.00,0.00
3,3w,PwDom,Intn1,175,88.91,0.00,0.00,5.65,0.00,2.84,0.00,0.00,0.00,4.77,0.00,14.75,0.00,0.00,0.00,0.00
3,3w,PwDom,Intn1,185,67.79,0.00,0.00,4.30,0.00,2.12,0.00,0.00,0.00,3.49,0.00,11.14,0.00,0.00,0.00,0.00
3,3w,PwDom,Intn1,195,49.65,0.00,0.00,3.16,0.00,1.53,0.00,0.00,0.00,2.46,0.00,8.09,0.00,0.00,0.00,0.00
3,3w,PwDom,Intn1,205,34.96,0.00,0.00,2.25,0.00,1.06,0.00,0.00,0.00,1.67,0.00,5.66,0.00,0.00,0.00,0.00
3,3w,PwDom,Intn1,215,23.67,0.00,0.00,1.54,0.00,0.71,0.00,0.00,0.00,1.09,0.00,3.81,0.00,0.00,0.00,0.00
3,3w,PwDom,Intn1,225,15.42,0.00,0.00,1.01,0.00,0.46,0.00,0.00,0.00,0.69,0.00,2.47,0.00,0.00,0.00,0.00
3,3w,PwDom,Intn1,235,9.67,0.00,0.00,0.65,0.00,0.28,0.00,0.00,0.00,0.42,0.00,1.54,0.00,0.00,0.00,0.00
3,3w,PwDom,Intn1,245,5.83,0.00,0.00,0.40,0.00,0.17,0.00,0.00,0.00,0.24,0.00,0.93,0.00,0.00,0.00,0.00
3,3w,PwDom,Intn1,255,3.39,0.00,0.00,0.23,0.00,0.10,0.00,0.00,0.00,0.14,0.00,0.54,0.00,0.00,0.00,0.00
4,Patnt,PwDom,Intn1,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,Patnt,PwDom,Intn1,15,5.87,0.00,0.00,1.30,0.00,0.89,0.00,0.00,0.00,0.66,0.00,1.15,0.00,0.00,0.00,0.00
4,Patnt,PwDom,Intn1,25,17.14,0.00,0.00,4.15,0.00,2.80,0.00,0.00,0.00,2.01,0.00,3.43,0.00,0.00,0.00,0.00
4,Patnt,PwDom,Intn1,35,33.24,0.00,0.00,7.23,0.00,4.76,0.00,0.00,0.00,3.87,0.00,6.67,0.00,0.00,0.00,0.00
4,Patnt,PwDom,Intn1,45,52.87,0.00,0.00,9.48,0.00,6.10,0.00,0.00,0.00,5.99,0.00,10.55,0.00,0.00,0.00,0.00
4,Patnt,PwDom,Intn1,55,74.20,0.00,0.00,10.83,0.00,6.82,0.00,0.00,0.00,8.05,0.00,14.66,0.00,0.00,0.00,0.00
4,Patnt,PwDom,Intn1,65,95.57,0.00,0.00,11.62,0.00,7.20,0.00,0.00,0.00,9.82,0.00,18.64,0.00,0.00,0.00,0.00
4,Patnt,PwDom,Intn1,75,115.94,0.00,0.00,12.13,0.00,7.40,0.00,0.00,0.00,11.22,0.00,22.28,0.00,0.00,0.00,0.00
4,Patnt,PwDom,Intn1,85,134.77,0.00,0.00,12.50,0.00,7.50,0.00,0.00,0.00,12.23,0.00,25.49,0.00,0.00,0.00,0.00
4,Patnt,PwDom,Intn1,95,151.82,0.00,0.00,12.79,0.00,7.54,0.00,0.00,0.00,12.89,0.00,28.25,0.00,0.00,0.00,0.00
4,Patnt,PwDom,Intn1,105,167.01,0.00,0.00,13.03,0.00,7.55,0.00,0.00,0.00,13.27,0.00,30.56,0.00,0.00,0.00,0.00
4,Patnt,PwDom,Intn1,115,180.33,0.00,0.00,13.24,0.00,7.53,0.00,0.00,0.00,13.42,0.00,32.45,0.00,0.00,0.00,0.00
4,Patnt,PwDom,Intn1,125,191.83,0.00,0.00,13.43,0.00,7.50,0.00,0.00,0.00,13.40,0.00,33.98,0.00,0.00,0.00,0.00
4,Patnt,PwDom,Intn1,135,201.60,0.00,0.00,13.61,0.00,7.45,0.00,0.00,0.00,13.27,0.00,35.17,0.00,0.00,0.00,0.00
4,Patnt,PwDom,Intn1,145,209.74,0.00,0.00,13.79,0.00,7.40,0.00,0.00,0.00,13.04,0.00,36.07,0.00,0.00,0.00,0.00
4,Patnt,PwDom,Intn1,155,216.35,0.00,0.00,13.97,0.00,7.35,0.00,0.00,0.00,12.76,0.00,36.72,0.00,0.00,0.00,0.00
4,Patnt,PwDom,Intn1,165,221.55,0.00,0.00,14.15,0.00,7.29,0.00,0.00,0.00,12.44,0.00,37.15,0.00,0.00,0.00,0.00
4,Patnt,PwDom,Intn1,175,225.45,0.00,0.00,14.32,0.00,7.22,0.00,0.00,0.00,12.10,0.00,37.40,0.00,0.00,0.00,0.00
4,Patnt,PwDom,Intn1,185,228.15,0.00,0.00,14.49,0.00,7.15,0.00,0.00,0.00,11.75,0.00,37.50,0.00,0.00,0.00,0.00
4,Patnt,PwDom,Intn1,195,229.77,0.00,0.00,14.66,0.00,7.08,0.00,0.00,0.00,11.39,0.00,37.47,0.00,0.00,0.00,0.00
4,Patnt,PwDom,Intn1,205,230.41,0.00,0.00,14.83,0.00,7.00,0.00,0.00,0.00,11.03,0.00,37.32,0.00,0.00,0.00,0.00
4,Patnt,PwDom,Intn1,215,230.18,0.00,0.00,14.99,0.00,6.92,0.00,0.00,0.00,10.66,0.00,37.08,0.00,0.00,0.00,0.00
4,Patnt,PwDom,Intn1,225,229.17,0.00,0.00,15.15,0.00,6.83,0.00,0.00,0.00,10.30,0.00,36.77,0.00,0.00,0.00,0.00
4,Patnt,PwDom,Intn1,235,227.47,0.00,0.00,15.30,0.00,6.74,0.00,0.00,0.00,9.95,0.00,36.38,0.00,0.00,0.00,0.00
4,Patnt,PwDom,Intn1,245,225.16,0.00,0.00,15.44,0.00,6.65,0.00,0.00,0.00,9.59,0.00,35.95,0.00,0.00,0.00,0.00
4,Patnt,PwDom,Intn1,255,222.33,0.00,0.00,15.57,0.00,6.55,0.00,0.00,0.00,9.25,0.00,35.46,0.00,0.00,0.00,0.00
7,3w,PwDom,Succ,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7,3w,PwDom,Succ,15,1.78,0.00,0.00,0.39,0.00,0.27,0.00,0.00,0.00,0.20,0.00,0.35,0.00,0.00,0.00,0.00
7,3w,PwDom,Succ,25,6.90,0.00,0.00,1.67,0.00,1.12,0.00,0.00,0.00,0.80,0.00,1.38,0.00,0.00,0.00,0.00
7,3w,PwDom,Succ,35,17.10,0.00,0.00,3.72,0.00,2.45,0.00,0.00,0.00,1.99,0.00,3.43,0.00,0.00,0.00,0.00
7,3w,PwDom,Succ,45,33.56,0.00,0.00,6.02,0.00,3.87,0.00,0.00,0.00,3.80,0.00,6.70,0.00,0.00,0.00,0.00
7,3w,PwDom,Succ,55,56.09,0.00,0.00,8.18,0.00,5.15,0.00,0.00,0.00,6.08,0.00,11.08,0.00,0.00,0.00,0.00
7,3w,PwDom,Succ,65,83.06,0.00,0.00,10.10,0.00,6.25,0.00,0.00,0.00,8.53,0.00,16.20,0.00,0.00,0.00,0.00
7,3w,PwDom,Succ,75,111.84,0.00,0.00,11.70,0.00,7.14,0.00,0.00,0.00,10.82,0.00,21.50,0.00,0.00,0.00,0.00
7,3w,PwDom,Succ,85,139.30,0.00,0.00,12.92,0.00,7.75,0.00,0.00,0.00,12.64,0.00,26.35,0.00,0.00,0.00,0.00
7,3w,PwDom,Succ,95,162.33,0.00,0.00,13.68,0.00,8.07,0.00,0.00,0.00,13.78,0.00,30.20,0.00,0.00,0.00,0.00
7,3w,PwDom,Succ,105,178.33,0.00,0.00,13.91,0.00,8.06,0.00,0.00,0.00,14.17,0.00,32.63,0.00,0.00,0.00,0.00
7,3w,PwDom,Succ,115,185.63,0.00,0.00,13.63,0.00,7.75,0.00,0.00,0.00,13.81,0.00,33.41,0.00,0.00,0.00,0.00
7,3w,PwDom,Succ,125,183.78,0.00,0.00,12.87,0.00,7.18,0.00,0.00,0.00,12.84,0.00,32.55,0.00,0.00,0.00,0.00
7,3w,PwDom,Succ,135,173.54,0.00,0.00,11.72,0.00,6.42,0.00,0.00,0.00,11.42,0.00,30.27,0.00,0.00,0.00,0.00
7,3w,PwDom,Succ,145,156.60,0.00,0.00,10.30,0.00,5.53,0.00,0.00,0.00,9.74,0.00,26.93,0.00,0.00,0.00,0.00
7,3w,PwDom,Succ,155,135.26,0.00,0.00,8.73,0.00,4.59,0.00,0.00,0.00,7.98,0.00,22.95,0.00,0.00,0.00,0.00
7,3w,PwDom,Succ,165,111.96,0.00,0.00,7.15,0.00,3.68,0.00,0.00,0.00,6.29,0.00,18.77,0.00,0.00,0.00,0.00
7,3w,PwDom,Succ,175,88.91,0.00,0.00,5.65,0.00,2.84,0.00,0.00,0.00,4.77,0.00,14.75,0.00,0.00,0.00,0.00
7,3w,PwDom,Succ,185,67.79,0.00,0.00,4.30,0.00,2.12,0.00,0.00,0.00,3.49,0.00,11.14,0.00,0.00,0.00,0.00
7,3w,PwDom,Succ,195,49.65,0.00,0.00,3.16,0.00,1.53,0.00,0.00,0.00,2.46,0.00,8.09,0.00,0.00,0.00,0.00
7,3w,PwDom,Succ,205,34.96,0.00,0.00,2.25,0.00,1.06,0.00,0.00,0.00,1.67,0.00,5.66,0.00,0.00,0.00,0.00
7,3w,PwDom,Succ,215,23.67,0.00,0.00,1.54,0.00,0.71,0.00,0.00,0.00,1.09,0.00,3.81,0.00,0.00,0.00,0.00
7,3w,PwDom,Succ,225,15.42,0.00,0.00,1.01,0.00,0.46,0.00,0.00,0.00,0.69,0.00,2.47,0.00,0.00,0.00,0.00
7,3w,PwDom,Succ,235,9.67,0.00,0.00,0.65,0.00,0.28,0.00,0.00,0.00,0.42,0.00,1.54,0.00,0.00,0.00,0.00
