CURVENO,SUBMU,FU,SI,AC10,PW,PR,PJ,SB,SW,BF,CE,OC,HE,PO,PB,BW,MH,QR,YB,OH
3,4e_5e,BOG,Exten,165,0.00,0.00,0.00,23.65,0.00,0.00,2.49,2.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3,4e_5e,BOG,Exten,175,0.00,0.00,0.00,24.68,0.00,0.00,2.47,2.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3,4e_5e,BOG,Exten,185,0.00,0.00,0.00,25.70,0.00,0.00,2.43,2.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3,4e_5e,BOG,Exten,195,0.00,0.00,0.00,26.69,0.00,0.00,2.38,2.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3,4e_5e,BOG,Exten,205,0.00,0.00,0.00,27.66,0.00,0.00,2.33,2.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3,4e_5e,BOG,Exten,215,0.00,0.00,0.00,28.61,0.00,0.00,2.26,2.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3,4e_5e,BOG,Exten,225,0.00,0.00,0.00,29.54,0.00,0.00,2.19,2.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3,4e_5e,BOG,Exten,235,0.00,0.00,0.00,30.45,0.00,0.00,2.11,2.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3,4e_5e,BOG,Exten,245,0.00,0.00,0.00,31.35,0.00,0.00,2.03,2.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3,4e_5e,BOG,Exten,255,0.00,0.00,0.00,32.22,0.00,0.00,1.95,1.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,patnt,BOG,Exten,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,patnt,BOG,Exten,15,0.00,0.00,0.00,0.44,0.00,0.00,0.25,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,patnt,BOG,Exten,25,0.00,0.00,0.00,2.07,0.00,0.00,0.51,0.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,patnt,BOG,Exten,35,0.00,0.00,0.00,4.55,0.00,0.00,0.79,0.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,patnt,BOG,Exten,45,0.00,0.00,0.00,7.18,0.00,0.00,1.09,1.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,patnt,BOG,Exten,55,0.00,0.00,0.00,9.49,0.00,0.00,1.38,1.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,patnt,BOG,Exten,65,0.00,0.00,0.00,11.39,0.00,0.00,1.63,1.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,patnt,BOG,Exten,75,0.00,0.00,0.00,12.97,0.00,0.00,1.84,1.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,patnt,BOG,Exten,85,0.00,0.00,0.00,14.37,0.00,0.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,patnt,BOG,Exten,95,0.00,0.00,0.00,15.66,0.00,0.00,2.14,2.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,patnt,BOG,Exten,105,0.00,0.00,0.00,16.90,0.00,0.00,2.25,2.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,patnt,BOG,Exten,115,0.00,0.00,0.00,18.09,0.00,0.00,2.34,2.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,patnt,BOG,Exten,125,0.00,0.00,0.00,19.26,0.00,0.00,2.41,2.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,patnt,BOG,Exten,135,0.00,0.00,0.00,20.39,0.00,0.00,2.46,2.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,patnt,BOG,Exten,145,0.00,0.00,0.00,21.50,0.00,0.00,2.48,2.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,patnt,BOG,Exten,155,0.00,0.00,0.00,22.59,0.00,0.00,2.49,2.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,patnt,BOG,Exten,165,0.00,0.00,0.00,23.65,0.00,0.00,2.49,2.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,patnt,BOG,Exten,175,0.00,0.00,0.00,24.68,0.00,0.00,2.47,2.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,patnt,BOG,Exten,185,0.00,0.00,0.00,25.70,0.00,0.00,2.43,2.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,patnt,BOG,Exten,195,0.00,0.00,0.00,26.69,0.00,0.00,2.38,2.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,patnt,BOG,Exten,205,0.00,0.00,0.00,27.66,0.00,0.00,2.33,2.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,patnt,BOG,Exten,215,0.00,0.00,0.00,28.61,0.00,0.00,2.26,2.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,patnt,BOG,Exten,225,0.00,0.00,0.00,29.54,0.00,0.00,2.19,2.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,patnt,BOG,Exten,235,0.00,0.00,0.00,30.45,0.00,0.00,2.11,2.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,patnt,BOG,Exten,245,0.00,0.00,0.00,31.35,0.00,0.00,2.03,2.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,patnt,BOG,Exten,255,0.00,0.00,0.00,32.22,0.00,0.00,1.95,1.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,4e_5e,BOG,Intn1,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,4e_5e,BOG,Intn1,15,0.00,0.00,0.00,0.44,0.00,0.00,0.25,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,4e_5e,BOG,Intn1,25,0.00,0.00,0.00,2.07,0.00,0.00,0.51,0.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,4e_5e,BOG,Intn1,35,0.00,0.00,0.00,4.55,0.00,0.00,0.79,0.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,4e_5e,BOG,Intn1,45,0.00,0.00,0.00,7.18,0.00,0.00,1.09,1.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,4e_5e,BOG,Intn1,55,0.00,0.00,0.00,9.49,0.00,0.00,1.38,1.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,4e_5e,BOG,Intn1,65,0.00,0.00,0.00,11.39,0.00,0.00,1.63,1.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,4e_5e,BOG,Intn1,75,0.00,0.00,0.00,12.97,0.00,0.00,1.84,1.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,4e_5e,BOG,Intn1,85,0.00,0.00,0.00,14.37,0.00,0.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,4e_5e,BOG,Intn1,95,0.00,0.00,0.00,15.66,0.00,0.00,2.14,2.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,4e_5e,BOG,Intn1,105,0.00,0.00,0.00,16.90,0.00,0.00,2.25,2.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,4e_5e,BOG,Intn1,115,0.00,0.00,0.00,18.09,0.00,0.00,2.34,2.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,4e_5e,BOG,Intn1,125,0.00,0.00,0.00,19.26,0.00,0.00,2.41,2.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,4e_5e,BOG,Intn1,135,0.00,0.00,0.00,20.39,0.00,0.00,2.46,2.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,4e_5e,BOG,Intn1,145,0.00,0.00,0.00,21.50,0.00,0.00,2.48,2.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,4e_5e,BOG,Intn1,155,0.00,0.00,0.00,22.59,0.00,0.00,2.49,2.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,4e_5e,BOG,Intn1,165,0.00,0.00,0.00,23.65,0.00,0.00,2.49,2.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,4e_5e,BOG,Intn1,175,0.00,0.00,0.00,24.68,0.00,0.00,2.47,2.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,4e_5e,BOG,Intn1,185,0.00,0.00,0.00,25.70,0.00,0.00,2.43,2.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,4e_5e,BOG,Intn1,195,0.00,0.00,0.00,26.69,0.00,0.00,2.38,2.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,4e_5e,BOG,Intn1,205,0.00,0.00,0.00,27.66,0.00,0.00,2.33,2.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,4e_5e,BOG,Intn1,215,0.00,0.00,0.00,28.61,0.00,0.00,2.26,2.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,4e_5e,BOG,Intn1,225,0.00,0.00,0.00,29.54,0.00,0.00,2.19,2.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,4e_5e,BOG,Intn1,235,0.00,0.00,0.00,30.45,0.00,0.00,2.11,2.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,4e_5e,BOG,Intn1,245,0.00,0.00,0.00,31.35,0.00,0.00,2.03,2.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,4e_5e,BOG,Intn1,255,0.00,0.00,0.00,32.22,0.00,0.00,1.95,1.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,patnt,BOG,Intn1,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,patnt,BOG,Intn1,15,0.00,0.00,0.00,0.44,0.00,0.00,0.25,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,patnt,BOG,Intn1,25,0.00,0.00,0.00,2.07,0.00,0.00,0.51,0.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,patnt,BOG,Intn1,35,0.00,0.00,0.00,4.55,0.00,0.00,0.79,0.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,patnt,BOG,Intn1,45,0.00,0.00,0.00,7.18,0.00,0.00,1.09,1.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,patnt,BOG,Intn1,55,0.00,0.00,0.00,9.49,0.00,0.00,1.38,1.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,patnt,BOG,Intn1,65,0.00,0.00,0.00,11.39,0.00,0.00,1.63,1.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,patnt,BOG,Intn1,75,0.00,0.00,0.00,12.97,0.00,0.00,1.84,1.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,patnt,BOG,Intn1,85,0.00,0.00,0.00,14.37,0.00,0.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,patnt,BOG,Intn1,95,0.00,0.00,0.00,15.66,0.00,0.00,2.14,2.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,patnt,BOG,Intn1,105,0.00,0.00,0.00,16.90,0.00,0.00,2.25,2.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,patnt,BOG,Intn1,115,0.00,0.00,0.00,18.09,0.00,0.00,2.34,2.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,patnt,BOG,Intn1,125,0.00,0.00,0.00,19.26,0.00,0.00,2.41,2.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,patnt,BOG,Intn1,135,0.00,0.00,0.00,20.39,0.00,0.00,2.46,2.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,patnt,BOG,Intn1,145,0.00,0.00,0.00,21.50,0.00,0.00,2.48,2.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,patnt,BOG,Intn1,155,0.00,0.00,0.00,22.59,0.00,0.00,2.49,2.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,patnt,BOG,Intn1,165,0.00,0.00,0.00,23.65,0.00,0.00,2.49,2.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,patnt,BOG,Intn1,175,0.00,0.00,0.00,24.68,0.00,0.00,2.47,2.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,patnt,BOG,Intn1,185,0.00,0.00,0.00,25.70,0.00,0.00,2.43,2.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,patnt,BOG,Intn1,195,0.00,0.00,0.00,26.69,0.00,0.00,2.38,2.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,patnt,BOG,Intn1,205,0.00,0.00,0.00,27.66,0.00,0.00,2.33,2.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,patnt,BOG,Intn1,215,0.00,0.00,0.00,28.61,0.00,0.00,2.26,2.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,patnt,BOG,Intn1,225,0.00,0.00,0.00,29.54,0.00,0.00,2.19,2.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,patnt,BOG,Intn1,235,0.00,0.00,0.00,30.45,0.00,0.00,2.11,2.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,patnt,BOG,Intn1,245,0.00,0.00,0.00,31.35,0.00,0.00,2.03,2.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,patnt,BOG,Intn1,255,0.00,0.00,0.00,32.22,0.00,0.00,1.95,1.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9,4e_5e,SB1,Prsnt,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9,4e_5e,SB1,Prsnt,15,0.00,0.00,0.03,1.83,0.03,0.03,0.09,0.19,0.00,0.01,0.00,0.02,0.00,0.00,0.00,0.00
9,4e_5e,SB1,Prsnt,25,0.00,0.00,0.13,8.28,0.11,0.14,0.19,0.39,0.00,0.06,0.00,0.08,0.00,0.00,0.00,0.00
9,4e_5e,SB1,Prsnt,35,0.00,0.00,0.30,19.50,0.25,0.34,0.32,0.64,0.00,0.16,0.00,0.22,0.00,0.00,0.00,0.00
9,4e_5e,SB1,Prsnt,45,0.00,0.00,0.58,33.45,0.42,0.57,0.48,0.96,0.00,0.33,0.00,0.45,0.00,0.00,0.00,0.00
9,4e_5e,SB1,Prsnt,55,0.00,0.00,0.93,47.71,0.60,0.80,0.66,1.32,0.00,0.56,0.00,0.79,0.00,0.00,0.00,0.00
9,4e_5e,SB1,Prsnt,65,0.00,0.00,1.33,60.68,0.78,1.00,0.82,1.65,0.00,0.81,0.00,1.19,0.00,0.00,0.00,0.00
9,4e_5e,SB1,Prsnt,75,0.00,0.00,1.71,71.68,0.93,1.16,0.96,1.92,0.00,1.05,0.00,1.62,0.00,0.00,0.00,0.00
9,4e_5e,SB1,Prsnt,85,0.00,0.00,2.04,80.64,1.05,1.29,1.06,2.13,0.00,1.25,0.00,2.02,0.00,0.00,0.00,0.00
9,4e_5e,SB1,Prsnt,95,0.00,0.00,2.31,87.76,1.15,1.38,1.13,2.27,0.00,1.41,0.00,2.38,0.00,0.00,0.00,0.00
